numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
4;auspol2019;Cerrado_Cuadratico;60000;2094
4;auspol2019;Cerrado_Cuadratico;70000;2439
4;auspol2019;Cerrado_Cuadratico;80000;2902
4;auspol2019;Cerrado_Cuadratico;90000;3210
4;auspol2019;Cerrado_Cuadratico;100000;3506
4;auspol2019;Cerrado_Cuadratico;110000;3791
4;auspol2019;Cerrado_Cuadratico;120000;4073
4;auspol2019;Cerrado_Cuadratico;130000;4372
4;auspol2019;Cerrado_Cuadratico;140000;4670
4;auspol2019;Cerrado_Cuadratico;150000;5002
4;auspol2019;Cerrado_Cuadratico;160000;5375
4;auspol2019;Cerrado_Cuadratico;170000;5736
4;auspol2019;Cerrado_Cuadratico;180000;6045
4;auspol2019;Cerrado_Doble;10000;548
4;auspol2019;Cerrado_Doble;20000;1126
4;auspol2019;Cerrado_Doble;30000;1710
4;auspol2019;Cerrado_Doble;40000;2271
4;auspol2019;Cerrado_Doble;50000;2822
4;auspol2019;Cerrado_Doble;60000;3414
4;auspol2019;Cerrado_Doble;70000;3977
4;auspol2019;Cerrado_Doble;80000;4544
4;auspol2019;Cerrado_Doble;90000;5073
4;auspol2019;Cerrado_Doble;100000;5598
4;auspol2019;Cerrado_Doble;110000;6124
4;auspol2019;Cerrado_Doble;120000;6639
4;auspol2019;Cerrado_Doble;130000;7166
4;auspol2019;Cerrado_Doble;140000;7673
4;auspol2019;Cerrado_Doble;150000;8232
4;auspol2019;Cerrado_Doble;160000;8828
4;auspol2019;Cerrado_Doble;170000;9389
4;auspol2019;Cerrado_Doble;180000;9910
4;auspol2019;STL_UnorderedMap;10000;270
4;auspol2019;STL_UnorderedMap;20000;563
4;auspol2019;STL_UnorderedMap;30000;865
4;auspol2019;STL_UnorderedMap;40000;1127
4;auspol2019;STL_UnorderedMap;50000;1390
4;auspol2019;STL_UnorderedMap;60000;1710
4;auspol2019;STL_UnorderedMap;70000;2052
4;auspol2019;STL_UnorderedMap;80000;2355
4;auspol2019;STL_UnorderedMap;90000;2631
4;auspol2019;STL_UnorderedMap;100000;2922
4;auspol2019;STL_UnorderedMap;110000;3242
4;auspol2019;STL_UnorderedMap;120000;3561
4;auspol2019;STL_UnorderedMap;130000;3840
4;auspol2019;STL_UnorderedMap;140000;4114
4;auspol2019;STL_UnorderedMap;150000;4474
4;auspol2019;STL_UnorderedMap;160000;4884
