numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
3;auspol2019;STL_UnorderedMap;40000;822
3;auspol2019;STL_UnorderedMap;50000;949
3;auspol2019;STL_UnorderedMap;60000;1081
3;auspol2019;STL_UnorderedMap;70000;1194
3;auspol2019;STL_UnorderedMap;80000;1305
3;auspol2019;STL_UnorderedMap;90000;1403
3;auspol2019;STL_UnorderedMap;100000;1485
3;auspol2019;STL_UnorderedMap;110000;1555
3;auspol2019;STL_UnorderedMap;120000;1621
3;auspol2019;STL_UnorderedMap;130000;1693
3;auspol2019;STL_UnorderedMap;140000;1752
3;auspol2019;STL_UnorderedMap;150000;1845
3;auspol2019;STL_UnorderedMap;160000;1973
3;auspol2019;STL_UnorderedMap;170000;2071
3;auspol2019;STL_UnorderedMap;180000;2145
4;auspol2019;Hash_Abierto;10000;150
4;auspol2019;Hash_Abierto;20000;296
4;auspol2019;Hash_Abierto;30000;429
4;auspol2019;Hash_Abierto;40000;555
4;auspol2019;Hash_Abierto;50000;668
4;auspol2019;Hash_Abierto;60000;790
4;auspol2019;Hash_Abierto;70000;900
4;auspol2019;Hash_Abierto;80000;1012
4;auspol2019;Hash_Abierto;90000;1100
4;auspol2019;Hash_Abierto;100000;1184
4;auspol2019;Hash_Abierto;110000;1260
4;auspol2019;Hash_Abierto;120000;1336
4;auspol2019;Hash_Abierto;130000;1408
4;auspol2019;Hash_Abierto;140000;1475
4;auspol2019;Hash_Abierto;150000;1573
4;auspol2019;Hash_Abierto;160000;1704
4;auspol2019;Hash_Abierto;170000;1819
4;auspol2019;Hash_Abierto;180000;1909
4;auspol2019;Cerrado_Lineal;10000;71
4;auspol2019;Cerrado_Lineal;20000;177
4;auspol2019;Cerrado_Lineal;30000;289
4;auspol2019;Cerrado_Lineal;40000;396
4;auspol2019;Cerrado_Lineal;50000;503
4;auspol2019;Cerrado_Lineal;60000;638
4;auspol2019;Cerrado_Lineal;70000;759
4;auspol2019;Cerrado_Lineal;80000;882
4;auspol2019;Cerrado_Lineal;90000;982
4;auspol2019;Cerrado_Lineal;100000;1083
4;auspol2019;Cerrado_Lineal;110000;1179
4;auspol2019;Cerrado_Lineal;120000;1277
4;auspol2019;Cerrado_Lineal;130000;1371
4;auspol2019;Cerrado_Lineal;140000;1474
4;auspol2019;Cerrado_Lineal;150000;1592
4;auspol2019;Cerrado_Lineal;160000;1745
4;auspol2019;Cerrado_Lineal;170000;1894
4;auspol2019;Cerrado_Lineal;180000;2016
4;auspol2019;Cerrado_Cuadratico;10000;70
4;auspol2019;Cerrado_Cuadratico;20000;174
4;auspol2019;Cerrado_Cuadratico;30000;284
4;auspol2019;Cerrado_Cuadratico;40000;389
4;auspol2019;Cerrado_Cuadratico;50000;498
4;auspol2019;Cerrado_Cuadratico;60000;623
4;auspol2019;Cerrado_Cuadratico;70000;761
4;auspol2019;Cerrado_Cuadratico;80000;892
4;auspol2019;Cerrado_Cuadratico;90000;997
4;auspol2019;Cerrado_Cuadratico;100000;1101
4;auspol2019;Cerrado_Cuadratico;110000;1200
4;auspol2019;Cerrado_Cuadratico;120000;1313
4;auspol2019;Cerrado_Cuadratico;130000;1411
